Run_Seed,Latitude_Improvement,Longitude_Improvement,Average_Improvement,Latitude_Improvement_Pct,Longitude_Improvement_Pct,Average_Improvement_Pct
0,0.03061002863902762,0.02182195346939031,0.026215991054208965,42.95806347060067,18.993206228638666,28.16666268500721
1,0.03364079624715055,0.01960136206120011,0.02662107915417533,49.594483485017705,16.815796130784282,28.873672504657154
2,0.03105205635086783,0.022714624230349756,0.026883340290608793,47.227230738691475,19.528182881763474,29.531185490421574
3,0.0332567373828645,0.022779925814017776,0.028018331598441137,52.18727371291575,19.569325704254307,31.10865789371206
4,0.022423826428755844,0.020753833630935636,0.02158883002984574,32.55191249039722,17.38934288563489,22.938245706403137
5,0.031872984652013714,0.02324615763306559,0.02755957114253965,45.45893061985475,20.11608346950549,29.686000167348638
6,0.03000995069764889,0.02413475669405718,0.027072353695853035,43.30933048813948,21.250876673170247,29.609478205448013
7,0.021584611517360353,0.015862424595859848,0.0187235180566101,28.434111493565883,13.039631396356716,18.95488374515237
8,0.026756618231790763,0.016785590160969144,0.021771104196379953,36.63125000605132,13.845061289988712,22.411861899596904
9,0.0365908657508085,0.02017449962471829,0.028382682687763394,54.79597051375965,16.671455230955257,30.22830314016607
